id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
30803,5,,ALL,DES PERVENCHES,Appartement,70,3,,45302
30804,3,,BD,SAINT DOMINIQUE,Appartement,51,2,,48092
30805,3,,BD,SAINT DOMINIQUE,Appartement,11,1,,48092
30806,103,,RUE,DU PONT FOUCHARD,Appartement,41,2,,49328
30807,17,,RUE,DE LA CORDERIE,Appartement,115,5,,50218
30808,84,,AV,DE PARIS,Appartement,69,2,,51108
30809,15,,RUE,DESBUREAUX,Appartement,79,5,,51454
30810,5,,AV,DE LAON,Appartement,65,3,,51454
30811,71,,RUE,DES 3 PILIERS,Appartement,57,3,,51454
30812,51,G,BD,HENRY VASNIER,Appartement,87,4,,51454
30813,39,,AV,HENRI FARMAN,Appartement,21,1,,51454
30814,21,,RUE,HENRI BECQUEREL,Appartement,99,4,,51573
30815,23,B,AV,DU GENERAL LECLERC,Appartement,121,4,,54167
30816,7,,ALL,RENE LALIQUE,Appartement,51,2,,54184
30817,4,,GR,GDE RUE,Appartement,80,3,,54234
30818,27,,RUE,ANTOINE BIANCAMARIA,Maison,76,4,,54547
30819,19,,RUE,DOC VILLERS,Appartement,73,4,,56121
30820,12,,RUE,DES CONSERVERIES,Appartement,25,1,,56186
30821,47,,RUE,JEAN JAURES,Appartement,55,2,,59009
30822,630,,AV,DE LA REPUBLIQUE,Appartement,11,1,,59350
30823,22,,RUE,DE TREVISE,Appartement,61,3,,59350
30824,67,B,RUE,COLBERT,Appartement,12,1,,59350
30825,25,,RUE,DE WAILLY,Appartement,91,4,,59599
30826,39,,RUE,MARTYRS RESISTANCE,Appartement,53,1,,60395
30827,134,,RUE,PASTEUR,Appartement,62,3,,60509
30828,10,,ALL,DES GLAILLEULS,Maison,76,4,,60684
30829,19,,RUE,DES FOURS,Appartement,28,2,,62041
30830,24,,RUE,EDOUARD BOLLAERT,Appartement,31,1,,62498
30831,3,,RUE,EMILE GARET,Appartement,45,2,,64445
30832,9,,AV,DE BUROS,Appartement,55,3,,64445
30833,3,,RUE,DE PARIS,Appartement,62,3,,69010
30834,18,B,AV,EDOUARD PAYEN,Appartement,120,5,,69081
30835,125,,AV,CHARLES DE GAULLE,Appartement,68,3,,69244
30836,19,,RUE,PIERRE BLANC,Appartement,35,1,,69381
30837,2,,RUE,BONY,Appartement,114,4,,69384
30838,152,,RUE,DUGUESCLIN,Appartement,34,2,,69386
30839,4,,ALL,EDITH PIAF,Appartement,24,1,,69389
30840,28,,QUAI,SAINT COSME,Appartement,54,2,,71076
30841,35,A,RUE,DE LA MANUTENTION,Appartement,62,4,,71076
30842,1,,RUE,SIMONE DE BEAUVOIR,Appartement,70,4,,71486
30843,87,,RTE,DE LA CHAPELLE,Appartement,67,3,,74007
30844,12,,RUE,DU CLOCHER,Appartement,32,1,,74190
30845,8,,CHE,DES HUCHES,Appartement,52,2,,74298
30846,108,,RUE,SAINT HONORE,Appartement,25,2,,75101
30847,7,,RUE,GRENETA,Appartement,10,1,,75103
30848,14,,RUE,FROISSART,Appartement,62,3,,75103
30849,26,,RUE,RAMBUTEAU,Appartement,22,1,,75103
30850,26,,RUE,DU ROI DE SICILE,Appartement,20,1,,75104
30851,42,,RUE,NOTRE DAME DES CHAMPS,Appartement,193,5,,75106
30852,17,,RUE,DARU,Appartement,16,1,,75108
30853,46,,RUE,D ARTOIS,Appartement,45,2,,75108
30854,9,,RUE,DU CHEVALIER DE ST-GEORGE,Appartement,13,2,,75108
30855,14,,RUE,DE L ARCADE,Appartement,24,1,,75108
30856,9,,RUE,DE FLORENCE,Appartement,108,3,,75108
30857,17,,RUE,DU GENERAL FOY,Appartement,173,4,,75108
30858,3,,RUE,DE L AGENT BAILLY,Appartement,27,1,,75109
30859,34,B,RUE,DE DUNKERQUE,Appartement,101,4,,75110
30860,35,,RUE,DES VINAIGRIERS,Appartement,27,2,,75110
30861,176,,RUE,SAINT MAUR,Appartement,14,1,,75111
30862,24,,PAS,DU GENIE,Appartement,61,3,,75112
30863,16,,RUE,LACUEE,Appartement,51,2,,75112
30864,78,,BD,DIDEROT,Appartement,60,3,,75112
30865,56,,AV,DAUMESNIL,Appartement,14,1,,75112
30866,181,,AV,DE VERSAILLES,Appartement,36,3,,75116
30867,24,,BD,EXELMANS,Appartement,42,3,,75116
30868,85,,RUE,JEAN DE LA FONTAINE,Appartement,39,2,,75116
30869,28,,RUE,GEORGE SAND,Appartement,31,1,,75116
30870,19,,AV,PAUL DOUMER,Appartement,50,2,,75116
30871,50,,RUE,PERGOLESE,Appartement,94,4,,75116
30872,6,,RUE,BREY,Appartement,76,3,,75117
30873,10,,RUE,ROGER BACON,Appartement,25,1,,75117
